城市, 睡觉时间, 起床时间, 睡眠时长, 距离下次睡觉
沈阳, 2014-01-21T06:00, 2014-01-21T16:30, 10.5h, 13.5h
沈阳, 2014-01-22T06:00, 2014-01-22T16:30, 10.5h, 23.5h
沈阳, 2014-01-23T16:00, 2014-01-24T09:00, 17h, 34h
沈阳, 2014-01-25T19:00, 2014-01-26T10:00, 15h, 22h
沈阳, 2014-01-27T08:00, 2014-01-27T16:00, 8h, 16h
沈阳, 2014-01-28T08:00, 2014-01-28T17:00, 9h, 21h
沈阳, 2014-01-29T14:00, 2014-01-30T10:00, 20h, 17h
沈阳, 2014-01-31T03:00, 2014-01-31T08:00, 5h, 19h
沈阳, 2014-02-01T03:00, 2014-02-01T11:00, 8h, 10h
沈阳, 2014-02-01T21:00, 2014-02-02T12:00, 15h, 26h
沈阳, 2014-02-03T14:00, 2014-02-04T12:30, 22.5h, 35h
沈阳, 2014-02-05T23:30, 2014-02-06T13:00, 13.5h, 28h
沈阳, 2014-02-07T17:00, 2014-02-08T13:00, 20h, 16h
沈阳, 2014-02-09T05:00, 2014-02-09T08:30, 3.5h, 17.5h
沈阳, 2014-02-10T02:00, 2014-02-10T18:00, 16h, 23.5h
沈阳, 2014-02-11T17:30, 2014-02-12T11:30, 18h, 20.5h
沈阳, 2014-02-13T08:00, 2014-02-13T15:30, 7.5h, 15.5h
沈阳, 2014-02-14T07:00, 2014-02-14T16:00, 9h, 24h
沈阳, 2014-02-15T16:00, 2014-02-15T23:00, 7h, 29.5h
沈阳, 2014-02-17T04:30, 2014-02-17T18:30, 14h, 26.5h
沈阳, 2014-02-18T21:00, 2014-02-19T15:00, 18h, 30h
沈阳, 2014-02-20T21:00, 2014-02-21T14:00, 17h, 33h
沈阳, 2014-02-22T23:00, 2014-02-23T15:00, 16h, N/A
记录中断, N/A, N/A, N/A, N/A
昆山, 2014-07-20T06:30, 2014-07-20T17:30, 11h, 28h
昆山, 2014-07-21T21:30, 2014-07-22T11:30, 14h, 21h
昆山, 2014-07-23T08:30, 2014-07-23T17:30, 9h, 26.5h
昆山, 2014-07-24T20:00, 2014-07-25T19:00, 23h, 23h
昆山, 2014-07-26T18:00, 2014-07-27T01:30, 7.5h, 26h
昆山, 2014-07-28T03:30, 2014-07-28T19:00, 15.5h, 22.5h
昆山, 2014-07-29T17:30, 2014-07-30T06:00, 12.5h, 17.5h
昆山, 2014-07-30T23:30, 2014-07-31T07:00, 7.5h, 18h
昆山, 2014-08-01T01:00, 2014-08-01T08:30, 7.5h, 15h
昆山, 2014-08-01T23:30, 2014-08-02T12:00, 12.5h, 18h
昆山, 2014-08-03T06:00, 2014-08-03T14:00, 8h, 18.5h
昆山, 2014-08-04T08:30, 2014-08-04T17:30, 9h, 15h
昆山, 2014-08-05T08:30, 2014-08-05T20:00, 11.5h, 19h
昆山, 2014-08-06T15:00, 2014-08-07T16:00, 25h, 23.5h
昆山, 2014-08-08T15:30, 2014-08-08T22:00, 6.5h, 20h
昆山, 2014-08-09T18:00, 2014-08-10T03:00, 9h, 17.5h
昆山, 2014-08-10T20:30, 2014-08-11T09:30, 13h, 16h
昆山, 2014-08-12T01:30, 2014-08-12T07:30, 6h, 16h
昆山, 2014-08-12T23:30, 2014-08-13T07:00, 7.5h, 18.5h
昆山, 2014-08-14T01:30, 2014-08-14T13:00, 11.5h, 15.5h
昆山, 2014-08-15T04:30, 2014-08-15T16:30, 12h, 17.5h
昆山, 2014-08-16T10:00, 2014-08-16T14:30, 4.5h, 15.5h
昆山, 2014-08-17T06:00, 2014-08-17T22:00, 16h, 19h
昆山, 2014-08-18T17:00, 2014-08-18T23:00, 6h, 16.5h
昆山, 2014-08-19T15:30, 2014-08-20T08:00, 16.5h, 15h
昆山, 2014-08-20T23:00, 2014-08-21T08:00, 9h, 16.5h
昆山, 2014-08-22T00:30, 2014-08-22T13:30, 13h, 17.5h
昆山, 2014-08-23T07:00, 2014-08-23T11:00, 4h, 13h
昆山, 2014-08-24T00:00, 2014-08-24T13:00, 13h, 21h
昆山, 2014-08-25T10:00, 2014-08-25T17:00, 7h, 15.5h
昆山, 2014-08-26T08:30, 2014-08-26T22:00, 13.5h, 18.5h
昆山, 2014-08-27T16:30, 2014-08-27T21:00, 4.5h, 4.5h
昆山, 2014-08-28T01:30, 2014-08-28T06:30, 5h, 19h
南京, 2014-08-29T01:30, 2014-08-29T08:00, 6.5h, 22.5h
昆山, 2014-08-30T06:30, 2014-08-30T19:00, 12.5h, 19.5h
昆山, 2014-08-31T14:30, 2014-09-01T03:00, 12.5h, 17h
昆山, 2014-09-01T20:00, 2014-09-02T09:30, 13.5h, 28h
昆山, 2014-09-03T13:30, 2014-09-03T22:30, 9h, 20h
昆山, 2014-09-04T18:30, 2014-09-05T10:30, 16h, 16.5h
昆山, 2014-09-06T03:00, 2014-09-06T09:00, 6h, 12.5h
昆山, 2014-09-06T21:30, 2014-09-07T09:30, 12h, 20h
昆山, 2014-09-08T05:30, 2014-09-08T12:30, 7h, 13.5h
昆山, 2014-09-09T02:00, 2014-09-09T14:30, 12.5h, 19.5h
昆山, 2014-09-10T10:00, 2014-09-10T19:00, 9h, 14h
昆山, 2014-09-11T09:00, 2014-09-11T19:30, 10.5h, 19.5h
昆山, 2014-09-12T15:00, 2014-09-12T20:30, 5.5h, 19.5h
昆山, 2014-09-13T16:00, 2014-09-14T13:00, 21h, 21.5h
昆山, 2014-09-15T10:30, 2014-09-16T01:00, 14.5h, 21h
昆山, 2014-09-16T22:00, 2014-09-17T03:30, 5.5h, N/A
